310001;1;500;2;3;MME. RAYMOND;EUR;F01;ABIDJAN 28;MME. RAYMOND;28 BP 1004;;Côte d'Ivoire;;;CHQ60DDF;maud.letinevez@sothys.net;0;
310003;1;1000;2;3;EUROCOSMETICS S.A;EUR;F01;VUISTERNENS-EN-OGOZ;EUROCOSMETICS SA;HALLE LES PLACETTES ;ROUTE DE BULLE 41;Suisse;1696;;VIR90DDF;laurence.bernaus@sothys.net;1;
310004;1;500;2;3;MME. MARLENE SAINT-CYR;EUR;F01;CAYENNE;MME. MARLENE SAINT-C;1240 ROUTE DE MONTABO;3 lotissement Ho-Kong-Clat;Guyane Française;97300;;CHQ50CPT50A30;maud.letinevez@sothys.net;0;
310005;1;1000;2;3;JOSEPHINE TADJORE;EUR;F01;YAOUNDE LONGKAK;JT;MME JOSEPHINE TADJORE;BP 5119;Cameroun;;;VIRCPT;maud.letinevez@sothys.net;0;
310006;1;500;2;3;GRAIN D'ESTHETIQUE;EUR;F01;COTONOU;GRAIN D'ESTHETIQUE;04 BP 607;I LOT 18 - C   HAIE VIVE;Bénin;;;VIRCPT;laurence.bernaus@sothys.net;0;
310022;1;1000;1;0;EUROCOSMETICS OY;EUR;F01;HELSINKI;EUROCOSMETICS OY;VUORIKATU 15;;Finlande;00100;;VIR90DDF;oleg.tumanov@sothys.net;0;
310028;1;1500;2;3;ELEGANCE SRO;EUR;L01;OSTRAVA ;ELEGANCE SRO;TYRSOVA 1832/9;;République Tchèque;70200;;VIR67A6033A90;oleg.tumanov@sothys.net;0;
310034;1;1500;1;0;MASTRIN SA;EUR;F01;ALGETE - MADRID;MASTRIN SA;CL. PELAYA N°21-C;NAVE 4 y 5  - POLIGONO INDUSTRIAL;Espagne;28110;;VIR90DDF;laurence.bernaus@sothys.net;1;
310035;1;1000;1;0;EUROCOSMETICS LTD;EUR;F01;HYTHE -  KENT ;EUROCOSMETICS LTD;HILLHURST HOUSE;HILLHURST FARM;Royaume-Uni;CT21 4HU;;VIR90DDF;oleg.tumanov@sothys.net;1;
310042;1;500;2;3;CRAFT - R. D. QUBAIN;EUR;F01;UM AL SUMAK;CRAFT - R. D. QUBAIN;P.O BOX 843;;Jordanie;11821;;VIR60DDF;maud.letinevez@sothys.net;0;
